F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.12, AccZ:0.86, GyroX:0.33, GyroY:0.09, GyroZ:-0.92
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:-0.48, GyroY:-0.14, GyroZ:-0.22
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:-0.53, GyroY:0.43, GyroZ:-0.19
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.85, GyroX:-0.79, GyroY:0.82, GyroZ:0.24
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:-1.47, GyroY:0.81, GyroZ:0.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.10, AccZ:0.86, GyroX:-1.60, GyroY:0.70, GyroZ:0.82
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.85, GyroX:-1.26, GyroY:0.47, GyroZ:0.83
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:-0.41, GyroY:0.18, GyroZ:0.77
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.05, GyroY:0.61, GyroZ:0.68
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.84, GyroX:0.47, GyroY:1.22, GyroZ:0.45
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.10, AccZ:0.86, GyroX:0.71, GyroY:1.40, GyroZ:0.39
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.86, GyroX:0.21, GyroY:1.07, GyroZ:0.31
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.11, AccZ:0.86, GyroX:-0.33, GyroY:0.87, GyroZ:0.74
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.11, AccZ:0.85, GyroX:-0.56, GyroY:0.55, GyroZ:0.68
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:-0.47, GyroY:0.72, GyroZ:0.88
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.36, AccY:0.09, AccZ:0.85, GyroX:-0.65, GyroY:1.20, GyroZ:0.59
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.86, GyroX:-0.21, GyroY:1.19, GyroZ:0.60
F1:OFF, F2:OFF, F3:OFF, F4:OFF | AccX:0.37, AccY:0.09, AccZ:0.85, GyroX:0.13, GyroY:1.14, GyroZ:-0.11
