F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.84, GyroX:-3.08, GyroY:1.30, GyroZ:1.90
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.85, GyroX:-3.06, GyroY:1.46, GyroZ:1.58
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.85, GyroX:-0.85, GyroY:1.01, GyroZ:1.21
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.39, AccY:0.15, AccZ:0.86, GyroX:0.24, GyroY:-2.03, GyroZ:1.98
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.87, GyroX:-1.84, GyroY:-3.59, GyroZ:2.80
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.13, AccZ:0.84, GyroX:-0.79, GyroY:-3.91, GyroZ:2.25
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.83, GyroX:-1.15, GyroY:-3.79, GyroZ:2.33
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.12, AccZ:0.82, GyroX:-2.18, GyroY:-3.04, GyroZ:1.95
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.82, GyroX:-2.51, GyroY:-1.94, GyroZ:1.66
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.10, AccZ:0.84, GyroX:-2.13, GyroY:-0.92, GyroZ:1.17
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.42, AccY:0.10, AccZ:0.83, GyroX:-0.94, GyroY:-0.35, GyroZ:0.42
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.42, AccY:0.11, AccZ:0.83, GyroX:-0.77, GyroY:0.41, GyroZ:-0.07
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.42, AccY:0.12, AccZ:0.82, GyroX:0.11, GyroY:0.76, GyroZ:-0.27
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.13, AccZ:0.82, GyroX:-0.36, GyroY:1.66, GyroZ:-0.22
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.83, GyroX:-0.86, GyroY:1.28, GyroZ:0.60
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.12, AccZ:0.84, GyroX:-1.47, GyroY:0.52, GyroZ:0.54
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.11, AccZ:0.83, GyroX:-0.19, GyroY:0.43, GyroZ:0.07
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.12, AccZ:0.84, GyroX:-0.12, GyroY:0.59, GyroZ:0.31
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.85, GyroX:-0.57, GyroY:0.58, GyroZ:0.33
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.39, AccY:0.13, AccZ:0.84, GyroX:-0.45, GyroY:-0.02, GyroZ:0.47
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.12, AccZ:0.85, GyroX:-1.90, GyroY:0.12, GyroZ:0.66
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.84, GyroX:-2.25, GyroY:-0.03, GyroZ:0.73
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.11, AccZ:0.83, GyroX:-1.37, GyroY:0.61, GyroZ:0.27
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.10, AccZ:0.84, GyroX:0.54, GyroY:0.75, GyroZ:-0.40
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.42, AccY:0.12, AccZ:0.84, GyroX:0.37, GyroY:0.78, GyroZ:-0.27
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.84, GyroX:0.79, GyroY:0.52, GyroZ:0.47
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.12, AccZ:0.85, GyroX:-0.65, GyroY:-0.26, GyroZ:0.31
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.13, AccZ:0.84, GyroX:-0.54, GyroY:-0.48, GyroZ:0.56
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.11, AccZ:0.83, GyroX:-1.20, GyroY:-0.11, GyroZ:0.98
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.83, GyroX:0.34, GyroY:0.43, GyroZ:0.53
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.10, AccZ:0.83, GyroX:0.22, GyroY:0.65, GyroZ:0.24
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.10, AccZ:0.84, GyroX:0.86, GyroY:0.38, GyroZ:-0.14
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.11, AccZ:0.84, GyroX:1.53, GyroY:0.01, GyroZ:-0.76
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.13, AccZ:0.83, GyroX:1.09, GyroY:0.41, GyroZ:-0.31
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.13, AccZ:0.83, GyroX:0.92, GyroY:0.35, GyroZ:-0.02
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.41, AccY:0.12, AccZ:0.84, GyroX:0.51, GyroY:0.76, GyroZ:-0.18
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.11, AccZ:0.84, GyroX:1.38, GyroY:0.52, GyroZ:-0.21
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.39, AccY:0.12, AccZ:0.85, GyroX:0.10, GyroY:0.50, GyroZ:-0.07
F1:OFF, F2:ON, F3:OFF, F4:OFF | AccX:0.40, AccY:0.12, AccZ:0.84, GyroX:-0.41, GyroY:0.06, GyroZ:-0.10
